StoreNo,StoreName,ATV,GOB,GOBE,Card_Sold,PWP,IPB,BCR,CCR
145,MENTAKAB, 53.8 ,0.1184,0.3556,600,0.2652,3.7,0.6342,0.5855
308,TRIANG PAHANG, 50.5 ,0.1151,0.3350,460,0.2967,3.7,0.7218,0.7197
324,TEMERLOH MALL, 45.2 ,0.1170,0.3473,600,0.2578,3.4,0.6181,0.4128
416,TEMERLOH, 51.3 ,0.1106,0.3479,930,0.2696,3.6,0.6651,0.7855
422,BERA, 54.8 ,0.1045,0.3449,740,0.2805,3.8,0.6720,0.6163
447,STAR MALL MENTAKAB, 43.0 ,0.1273,0.3249,400,0.2695,3.2,0.6070,0.4121
497,KUALA LIPIS, 44.3 ,0.1177,0.3114,600,0.3307,3.5,0.8260,0.6283
560,TF BERA, 43.0 ,0.1388,0.3422,420,0.3165,3.1,0.6919,0.6353
697,MYDIN JENGKA, 43.0 ,0.1185,0.3289,560,0.2547,3.1,0.5832,0.5136
2008,JERANTUT, 54.0 ,0.1168,0.3517,880,0.2814,3.7,0.6909,0.8178
2058,JENGKA, 47.9 ,0.1040,0.3430,970,0.2613,3.5,0.6426,0.6204
2170,PUSAT PERNIAGAAN BARRY, 54.0 ,0.1059,0.3580,740,0.3032,3.7,0.6644,0.5159
2203,JERANTUT 2, 47.6 ,0.1165,0.3450,460,0.3090,3.6,0.8218,0.5552
80,MID POINT SHOPPING CENTRE, 43.0 ,0.1575,0.3396,400,0.2174,3.0,0.5201,0.4777
97,DESA PANDAN, 44.3 ,0.1058,0.3000,1070,0.2996,3.4,0.7000,0.6903
114,TAMAN PERTAMA CHERAS, 43.0 ,0.1280,0.3152,420,0.2452,3.0,0.6381,0.5616
195,LOTUS'S AMPANG, 45.0 ,0.1088,0.3288,650,0.2402,3.4,0.5704,0.6133
465,SUNWAY VELOCITY MALL, 52.2 ,0.1042,0.3987,2180,0.2476,3.3,0.6626,0.5028
504,MYTOWN, 46.7 ,0.1000,0.3733,1810,0.1705,3.1,0.6203,0.4188
562,DWITASIK CHERAS, 52.6 ,0.1035,0.3228,740,0.2471,3.7,0.6399,0.8135
640,AEON TAMAN MALURI, 47.3 ,0.1036,0.3902,1390,0.2274,3.2,0.6588,0.4602
658,SRI PERMAISURI, 43.0 ,0.1241,0.3121,400,0.1981,3.0,0.6186,0.6194
191,BENTONG, 43.0 ,0.1210,0.3294,400,0.2695,3.2,0.6251,0.5544
214,TAMAN PERMATA, 45.0 ,0.1270,0.3124,460,0.2689,3.6,0.6254,0.7212
291,MEDAN IDAMAN, 48.6 ,0.1188,0.3300,1110,0.2705,3.5,0.5726,0.6387
398,RAUB PAHANG, 49.6 ,0.1104,0.3229,740,0.2946,3.4,0.9014,0.6880
515,MELAWATI MALL, 47.8 ,0.1140,0.3629,1670,0.2660,3.5,0.6920,0.7925
594,AEON BIG WANGSA MAJU, 46.0 ,0.1214,0.3468,740,0.2881,3.4,0.7499,0.3846
650,KL TRADERS, 43.0 ,0.1226,0.3315,510,0.2654,3.2,0.6493,0.6351
666,KL EAST MALL, 55.0 ,0.1059,0.3906,1160,0.2721,3.8,0.5830,0.5277
667,WANGSA WALK, 47.1 ,0.1176,0.3593,2040,0.2576,3.4,0.6113,0.6317
2071,RAUB 2, 49.3 ,0.1143,0.3866,600,0.2417,3.3,0.8266,0.5492
2136,BENTONG 2, 50.8 ,0.1174,0.3694,650,0.2856,3.6,0.8383,0.6412
2193,BENTONG PRIMA, 52.1 ,0.1029,0.3618,880,0.2823,3.7,0.7042,0.5248
20,AMPANG POINT SHOPPING, 54.2 ,0.1000,0.3766,510,0.1966,3.5,0.5679,0.4912
53,JALAN CHENG LOCK, 43.0 ,0.1119,0.3866,400,0.2156,3.0,0.4500,0.3705
91,GREAT EASTERN MALL, 48.7 ,0.1149,0.3893,400,0.2648,3.5,0.5983,0.4827
412,WISMA HB, 43.0 ,0.1316,0.3509,400,0.1899,3.0,0.5526,0.6779
450,AVENUE K, 49.0 ,0.1016,0.4132,460,0.1981,3.3,0.6650,0.4076
453,JALAN TUN PERAK, 43.0 ,0.1413,0.3580,400,0.2133,3.2,0.6063,0.4447
464,SURIA KLCC, 65.2 ,0.1000,0.4403,2040,0.2121,3.8,0.5508,0.4471
483,JAKEL MALL, 43.0 ,0.1252,0.3290,400,0.2481,3.1,0.4773,0.3500
489,SOGO, 45.6 ,0.1137,0.3810,420,0.2150,3.1,0.5285,0.3883
566,INTERMARK, 45.6 ,0.1154,0.4097,400,0.2202,3.2,0.6560,0.4432
585,M CITY AMPANG, 49.1 ,0.1075,0.3665,400,0.2162,3.4,0.5810,0.7574
662,PETRONAS JALAN KOLAM AYER LAMA, 49.5 ,0.1159,0.3414,400,0.2347,3.5,0.5252,0.6375
70,JALAN SULTAN ISMAIL, 43.0 ,0.1133,0.3415,1020,0.2396,3.3,0.6344,0.4842
223,PAVILION KL SHOPPING, 71.9 ,0.1000,0.4484,8730,0.2186,3.8,0.6137,0.4999
253,TIMES SQUARE, 47.5 ,0.1000,0.3651,1210,0.2396,3.2,0.6086,0.4985
287,BERJAYA TIMES SQ 2, 44.4 ,0.1000,0.3323,400,0.2448,3.2,0.5844,0.3500
312,SUNGAI WANG PLAZA, 45.1 ,0.1088,0.3797,970,0.2248,3.2,0.6194,0.3500
602,QUILL CITY, 43.0 ,0.1257,0.3432,600,0.2302,3.1,0.5525,0.5310
637,SUNWAY PUTRA, 49.7 ,0.1043,0.3859,1720,0.2394,3.4,0.6030,0.5855
646,PLAZA LOW YAT, 43.0 ,0.1178,0.3242,420,0.2174,3.0,0.6304,0.4276
2191,THE EXCHANGE TRX, 56.1 ,0.1000,0.4685,4640,0.2398,3.2,0.5439,0.3500
79,PUSAT BANDAR RAWANG, 49.0 ,0.1257,0.3265,400,0.2197,3.4,0.6411,0.5676
238,LOTUS'S RAWANG, 43.0 ,0.1275,0.3215,510,0.2244,3.2,0.6647,0.5061
289,AEON RAWANG, 47.9 ,0.1211,0.3669,790,0.2196,3.3,0.5661,0.3764
2018,CALTEX BATANG KALI, 50.3 ,0.1233,0.3584,650,0.2567,3.7,0.6454,0.6130
2022,BUKIT SENTOSA RAWANG, 45.7 ,0.1150,0.3330,600,0.2410,3.3,0.7100,0.5987
2092,LOTUS'S BKT BERUNTUNG, 43.0 ,0.1352,0.3274,460,0.2172,3.0,0.6880,0.3964
2099,BDR TASIK PUTERI, 45.3 ,0.1246,0.3399,650,0.2272,3.4,0.7176,0.5488
2115,CALTEX ULU YAM, 46.6 ,0.1231,0.3155,420,0.2893,3.6,0.7338,0.5689
2189,ANGGUN CITY RAWANG, 76.1 ,0.1000,0.4243,970,0.2358,4.5,0.4500,0.4395
35,KUANTAN PARADE, 48.1 ,0.1216,0.3797,790,0.2541,3.6,0.6263,0.5750
43,BERJAYA MEGAMALL, 43.0 ,0.1124,0.4114,460,0.2061,3.3,0.6269,0.4878
192,PEKAN, 52.7 ,0.1064,0.3753,880,0.2105,3.7,0.6373,0.7274
193,JALAN BESERAH, 62.8 ,0.1115,0.3766,1110,0.2323,4.0,0.6667,0.7445
208,JALAN TUN ISMAIL, 47.3 ,0.1191,0.3217,600,0.2686,3.5,0.6524,0.6219
345,MUADZAM SHAH PAHANG, 43.0 ,0.1195,0.3034,400,0.2449,3.2,0.6350,0.6822
383,EAST COAST MALL, 45.7 ,0.1064,0.3543,1350,0.2069,3.3,0.6267,0.3500
