StoreNo,StoreName,YEAR,ATV,GOB,GOBE,Card_Sold,PWP,IPB,BCR,CCR
95,LOTUS'S PENANG E GATE,2026, 37.8 ,0.1419,0.3500,,0.2635,3.1,0.7366,0.3850
272,KULIM CENTRAL,2026, 50.9 ,0.1433,0.3966,,0.2817,3.4,0.5887,0.3850
286,VANTAGE POINT,2026, 53.2 ,0.1189,0.3903,,0.2968,3.4,0.7440,0.7157
310,AEON BIG PNANG PRAI,2026, 39.4 ,0.1390,0.3500,,0.2600,3.1,0.5000,0.3935
337,LOTUS'S SEBERANG JAYA,2026, 44.9 ,0.1409,0.3905,,0.2600,3.1,0.5795,0.4099
421,LOTUS'S KULIM,2026, 46.0 ,0.1236,0.3524,,0.2868,3.2,0.5846,0.4101
496,FARLIM,2026, 39.1 ,0.1568,0.3500,,0.3114,3.1,0.7616,0.5122
2103,ALL SEASONS PLACE,2026, 48.0 ,0.1252,0.4300,,0.3021,3.1,0.6869,0.4212
2112,SERAI WANGI MALL,2026, 48.2 ,0.1272,0.3903,,0.2819,3.3,0.6164,0.3850
2157,KULIM LANDMARK CITY,2026, 53.7 ,0.1214,0.3692,,0.3044,3.5,0.6472,0.4976
2250,SUNSHINE MALL,2026, 44.8 ,0.1239,0.4262,,0.2982,3.1,0.7111,0.3850
2261,KELANG LAMA SQUARE KULIM,2026, 52.6 ,0.1168,0.3892,,0.3055,3.4,0.6320,0.5334
2272,SUNWAY CARNIVAL (RELOCATION),2026, 54.4 ,0.1202,0.4391,,0.2600,3.3,0.6011,0.3877
2276,TASEK GELUGOR,2026, 52.4 ,0.1206,0.3834,,0.3011,3.5,0.6232,0.5270
7,KOMPLEKS M.P.K.S.,2026, 40.6 ,0.1407,0.3664,,0.3292,3.3,0.6752,0.3850
123,STAR PARADE,2026, 47.7 ,0.1350,0.3790,,0.3556,3.6,0.6261,0.3850
182,MEDAN PUTRA,2026, 44.3 ,0.1435,0.3500,,0.3572,3.4,0.6647,0.4413
183,PEKAN SIMPANG KUALA,2026, 53.0 ,0.1409,0.3667,,0.4078,3.8,0.7892,0.5553
184,PERSIARAN SULTAN ABD,2026, 48.7 ,0.1339,0.3500,,0.3158,3.6,0.6863,0.6794
261,ALOR STAR MALL,2026, 47.3 ,0.1613,0.3925,,0.3387,3.4,0.6513,0.5026
394,LOTUS'S MERGONG,2026, 47.1 ,0.1777,0.3984,,0.3232,3.4,0.6243,0.3850
401,JERAI PLAZA,2026, 54.3 ,0.1693,0.4092,,0.4015,3.9,0.6476,0.4708
592,LOTUS'S STARGATE,2026, 39.1 ,0.1422,0.3500,,0.3121,3.1,0.6218,0.4106
654,AMAN CENTRAL,2026, 51.8 ,0.1126,0.3654,,0.3420,3.6,0.7305,0.3850
