Store No,Store Name, Week 01, Week 02, Week 03, Week 04, Week 05, Week 06, Week 07, Week 08, Week 09, Week 10, Week 11, Week 12, Week 13, Week 14, Week 15, Week 16, Week 17, Week 18, Week 19, Week 20, Week 21, Week 22, Week 23, Week 24, Week 25, Week 26, Week 27, Week 28, Week 29, Week 30, Week 31, Week 32, Week 33, Week 34, Week 35, Week 36, Week 37, Week 38, Week 39, Week 40, Week 41, Week 42, Week 43, Week 44, Week 45, Week 46, Week 47, Week 48, Week 49, Week 50, Week 51, Week 52
95,LOTUS'S PENANG E GATE,"91,815.02","75,670.29","69,901.96","74,834.13","81,036.40","75,502.51","89,144.18","92,926.69","70,898.39","73,138.32","95,608.85","108,435.79","90,108.01","80,661.40","74,209.01","68,447.55","77,968.48","92,625.56","80,969.38","70,472.82","76,721.99","88,346.36","84,769.92","75,358.61","75,289.07","81,905.48","84,944.82","76,186.29","70,132.30","80,794.07","85,848.35","80,153.63","74,770.98","71,643.07","88,949.64","86,819.69","73,850.55","78,414.34","79,006.57","84,198.33","74,741.02","70,621.74","78,962.19","81,582.10","79,825.64","75,169.44","70,669.69","85,885.84","80,415.54","78,627.48","84,891.24","95,184.88"
272,KULIM CENTRAL,"108,131.28","89,117.50","82,324.09","88,132.75","95,437.21","88,919.91","104,985.81","109,440.50","83,497.59","86,135.58","112,599.30","127,705.69","106,120.91","94,995.57","87,396.54","80,611.23","91,824.10","109,085.85","95,358.28","82,996.40","90,356.09","104,046.21","99,834.20","88,750.43","88,668.54","96,460.74","100,040.18","89,725.19","82,595.37","95,151.82","101,104.28","94,397.56","88,058.38","84,374.61","104,756.70","102,248.24","86,974.38","92,349.19","93,046.67","99,161.04","88,023.09","83,171.78","92,994.40","96,079.89","94,011.29","88,527.64","83,228.25","101,148.43","94,706.02","92,600.21","99,977.09","112,099.99"
286,VANTAGE POINT,"165,454.55","136,361.07","125,966.29","134,854.27","146,031.02","136,058.72","160,641.58","167,457.83","127,761.89","131,798.35","172,291.20","195,405.88","162,378.44","145,355.25","133,727.78","123,345.39","140,502.50","166,915.17","145,910.25","126,995.00","138,256.27","159,203.88","152,758.98","135,799.40","135,674.10","147,597.15","153,074.15","137,290.91","126,381.37","145,594.34","154,702.36","144,440.23","134,740.47","129,103.85","160,291.02","156,452.76","133,081.82","141,305.96","142,373.19","151,728.95","134,686.48","127,263.36","142,293.21","147,014.40","143,849.19","135,458.50","127,349.77","154,769.91","144,912.21","141,690.04","152,977.61","171,527.18"
310,AEON BIG PNANG PRAI,"59,366.96","48,927.89","45,198.13","48,387.24","52,397.58","48,819.41","57,640.01","60,085.76","45,842.41","47,290.74","61,820.03","70,113.84","58,263.22","52,155.11","47,983.04","44,257.72","50,413.88","59,891.05","52,354.25","45,567.24","49,607.91","57,124.15","54,811.65","48,726.36","48,681.40","52,959.52","54,924.74","49,261.53","45,347.07","52,240.89","55,508.96","51,826.79","48,346.40","46,323.92","57,514.23","56,137.02","47,751.26","50,702.17","51,085.11","54,442.06","48,327.03","45,663.53","51,056.41","52,750.43","51,614.71","48,604.04","45,694.54","55,533.19","51,996.14","50,839.99","54,890.10","61,545.89"
337,LOTUS'S SEBERANG JAYA,"97,112.59","80,036.34","73,935.18","79,151.93","85,712.06","79,858.88","94,287.64","98,288.40","74,989.10","77,358.28","101,125.32","114,692.35","95,307.08","85,315.42","78,490.74","72,396.86","82,467.13","97,969.89","85,641.17","74,538.98","81,148.71","93,443.79","89,660.99","79,706.67","79,633.12","86,631.29","89,845.98","80,582.10","74,178.81","85,455.75","90,801.65","84,778.35","79,085.14","75,776.75","94,081.88","91,829.04","78,111.60","82,938.71","83,565.12","89,056.43","79,053.44","74,696.49","83,518.17","86,289.25","84,431.45","79,506.58","74,747.21","90,841.30","85,055.38","83,164.15","89,789.32","100,676.88"
421,LOTUS'S KULIM,"78,637.35","64,809.78","59,869.34","64,093.62","69,405.72","64,666.08","76,349.84","79,589.47","60,722.76","62,641.21","81,886.67","92,872.63","77,175.33","69,084.54","63,558.23","58,623.68","66,778.12","79,331.55","69,348.32","60,358.27","65,710.53","75,666.52","72,603.39","64,542.83","64,483.27","70,150.07","72,753.18","65,251.71","60,066.62","69,198.17","73,527.04","68,649.65","64,039.54","61,360.56","76,183.22","74,358.97","63,251.21","67,159.99","67,667.22","72,113.83","64,013.88","60,485.81","67,629.21","69,873.10","68,368.74","64,380.81","60,526.88","73,559.15","68,873.97","67,342.54","72,707.30","81,523.55"
496,FARLIM,"39,248.29","32,346.88","29,881.08","31,989.44","34,640.73","32,275.16","38,106.58","39,723.49","30,307.03","31,264.53","40,870.04","46,353.19","38,518.59","34,480.43","31,722.22","29,259.36","33,329.29","39,594.77","34,612.09","30,125.11","32,796.45","37,765.53","36,236.71","32,213.64","32,183.92","35,012.24","36,311.47","32,567.45","29,979.55","34,537.15","36,697.71","34,263.38","31,962.45","30,625.36","38,023.42","37,112.93","31,568.99","33,519.88","33,773.04","35,992.37","31,949.64","30,188.77","33,754.07","34,874.01","34,123.17","32,132.78","30,209.26","36,713.73","34,375.34","33,610.99","36,288.57","40,688.80"
2103,ALL SEASONS PLACE,"80,232.81","66,124.70","61,084.02","65,394.01","70,813.88","65,978.08","77,898.89","81,204.25","61,954.75","63,912.13","83,548.06","94,756.92","78,741.13","70,486.19","64,847.75","59,813.09","68,132.97","80,941.10","70,755.32","61,582.87","67,043.72","77,201.71","74,076.43","65,852.33","65,791.57","71,573.34","74,229.26","66,575.60","61,285.31","70,602.13","75,018.82","70,042.47","65,338.83","62,605.50","77,728.89","75,867.63","64,534.51","68,522.59","69,040.11","73,576.94","65,312.65","61,713.01","69,001.33","71,290.75","69,755.86","65,687.02","61,754.90","75,051.58","70,271.34","68,708.84","74,182.45","83,177.57"
2112,SERAI WANGI MALL,"99,572.65","82,063.82","75,808.11","81,157.01","87,883.32","81,881.87","96,676.15","100,778.25","76,888.73","79,317.92","103,687.03","117,597.74","97,721.41","87,476.64","80,479.08","74,230.82","84,556.19","100,451.67","87,810.64","76,427.21","83,204.38","95,810.92","91,932.29","81,725.81","81,650.40","88,825.84","92,121.97","82,623.41","76,057.92","87,620.52","93,101.85","86,925.97","81,088.53","77,696.33","96,465.17","94,155.26","80,090.33","85,039.72","85,681.99","91,312.41","81,056.03","76,588.71","85,633.86","88,475.13","86,570.27","81,520.65","76,640.71","93,142.50","87,210.01","85,270.87","92,063.87","103,227.24"
2157,KULIM LANDMARK CITY,"84,953.26","70,015.10","64,677.87","69,241.43","74,980.18","69,859.86","82,482.03","85,981.85","65,599.83","67,672.36","88,463.56","100,331.89","83,373.82","74,633.20","68,663.03","63,332.16","72,141.54","85,703.23","74,918.17","65,206.06","70,988.20","81,743.83","78,434.67","69,726.72","69,662.38","75,784.31","78,596.50","70,492.54","64,890.99","74,755.96","79,432.51","74,163.38","69,183.00","66,288.86","82,302.03","80,331.26","68,331.36","72,554.08","73,102.05","77,905.80","69,155.28","65,343.85","73,060.99","75,485.10","73,859.91","69,551.68","65,388.22","79,467.20","74,405.72","72,751.29","78,546.93","88,071.28"
