store_key,bu_key,store_id,division_type_code,store_code,store_name,store_other_name,store_format_code,store_format_name,store_banner,store_segment,store_manager_code,store_manager_name,address_1,address_2,address_3,address_4,address_5,phone_num,fax_num,country_name,region_name,city_name,district_name,county_name,province_name,latitude,longitude,total_area,selling_area,store_open_date,store_close_date,store_move_date,store_renovation_date,zip_code,web_store_flag,is_web_store,franchise_store_flag,store_closed_flag,test_store_flag,comp_store_flag,store_exclusion,ws_store_exclusion,first_load_date,last_update_date,store_services,h1_hierarchy_display_name,h1_l1_hierarchy_name,h1_l1_hierarchy_code,h1_l2_hierarchy_name,h1_l2_hierarchy_code,h1_l3_hierarchy_name,h1_l3_hierarchy_code,h1_l4_hierarchy_name,h1_l4_hierarchy_code,h1_l5_hierarchy_name,h1_l5_hierarchy_code,ext_region,ext_area,area_manager,regional_manager,table_last_update,web_store_name,region_indicator,region_indicator_promo_right,store_type,store_description,territory_head
0,WTCMY,0,Store,050,,Dummy Store,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,,N,,N,N,N,2020-05-15 12:04:02,2024-05-28 14:42:16,,,,,,,,,,,,,,,,,2025-10-21 13:28:49,OFFLINE STORE,W,W,,,
1,WTCMY,1,Store,051,HP,HOLIDAY PLAZA,5,Neighborhood Mall,,,,SHARIFAH BTE ATAN,"G/FL,G-8,HOLIDAY PLAZA","JLN DATO SULAIMAN, CENTURY GDN",,,JOH,073349201,073349201,Malaysia,,JOHOR,Bandar Johor Bahru,,,1.488512,103.759807,2066,1874,1994-05-19 00:00:00,2022-03-10 00:00:00,,,80250,N,N,,Y,,N,N,N,2020-05-15 12:04:02,2025-06-03 11:47:28,,Watsons Malaysia > South > South > Johor > Bandar Johor Bahru,Watsons Malaysia,001,South,014,South,024,Johor,031,Bandar Johor Bahru,0429,South,Johor,RAMESH,SURAYA,2025-10-21 13:28:49,OFFLINE STORE,W,W,,,
10,WTCMY,10,Store,0510,KLU,PLAZA BCB,5,Neighborhood Mall,,,,ROHANA BTE ABD. MANA,"G19-G24, PLAZA BCB","20 JLN BAKAWALI, BANDAR KLUANG",,,JOH,077713277,07-7713718(MDM),Malaysia,,JOHOR,Johor Bharu,,,2.036714,103.32265,,,1995-10-19 00:00:00,2012-05-18 00:00:00,,,86000,N,N,,Y,,N,N,N,2020-05-15 12:04:02,2025-06-03 11:47:28,,Watsons Malaysia > South > South > Johor > Johor Bharu,Watsons Malaysia,001,South,014,South,024,Johor,031,Johor Bharu,046,South,Johor,,,2025-10-21 13:28:49,OFFLINE STORE,W,W,,,
100,WTCMY,100,Store,05100,CUR,THE CURVE,4,Destination Mall,,1 - Cosmopolitan Community,,NORIZAN BT ABDULLAH,NO G98A GF THE CURVE MUTIARA,DAMANSARA,,,SEL,0374967527,,Malaysia,,SELANGOR,Petaling Jaya,MALAYSIA,,3.158595,101.612049,2582,2480,2004-12-09 00:00:00,,,,47800,N,N,,N,,Y,N,N,2020-05-15 12:04:02,2025-10-17 13:20:07,"Click and Collect,Nutrient,Pharmacy",Watsons Malaysia > Central > Central > Selangor > Petaling Jaya,Watsons Malaysia,001,Central,011,Central,021,Selangor,0313,Petaling Jaya,0418,Central,Selangor,HAMISAH,ZARINA,2025-10-21 13:28:49,OFFLINE STORE,W,W,,,
1001,WTCMY,1001,Store,051001,MT1,MOBILE TRUCK 1,10,Other Sales,,8 - Other Sales,,MAHADZIR,MOBILE TRUCK 1 FROM WH,,,,SHA,,,Malaysia,,SHAH ALAM,Dummy,MALAYSIA,,,,,,2019-12-09 00:00:00,,,,,N,N,,N,,N,N,N,2020-05-15 12:04:02,2025-06-03 11:47:28,,Watsons Malaysia > Dummy Region > Dummy Region > Dummy > Dummy,Watsons Malaysia,001,Dummy Region,019,Dummy Region,029,Dummy,0399,Dummy,0499,Dummy Region,Dummy,,,2025-10-21 13:28:49,OFFLINE STORE,W,W,,,
1002,WTCMY,1002,Store,051002,MT2,MOBILE TRUCK 2,10,Other Sales,,8 - Other Sales,,MAHADZIR,MOBILE TRUCK 2 FROM WH,,,,SHA,,,Malaysia,,SHAH ALAM,Dummy,MALAYSIA,,,,,,2019-12-09 00:00:00,,,,,N,N,,N,,N,N,N,2020-05-15 12:04:02,2025-06-03 11:47:28,,Watsons Malaysia > Dummy Region > Dummy Region > Dummy > Dummy,Watsons Malaysia,001,Dummy Region,019,Dummy Region,029,Dummy,0399,Dummy,0499,Dummy Region,Dummy,,,2025-10-21 13:28:49,OFFLINE STORE,W,W,,,
1003,WTCMY,1003,Store,051003,OBU,CONCOURSE M262 - OBU,10,Other Sales,,8 - Other Sales,,HAMISAH,"LOT F223,FIRST FLOOR BDR UTAMA","SHPPING CNTRE,",,,PET,0333246043,,Malaysia,,PETALING JAYA,Dummy,SELANGOR,,,,,,2021-01-27 00:00:00,,,,47800,N,N,,N,,N,N,N,2021-01-10 15:25:50,2025-08-01 13:19:38,,Watsons Malaysia > Dummy Region > Dummy Region > Dummy > Dummy,Watsons Malaysia,001,Dummy Region,019,Dummy Region,029,Dummy,0399,Dummy,0499,Dummy Region,Dummy,Concourse,Concourse,2025-10-21 13:28:49,OFFLINE STORE,W,W,,,
1004,WTCMY,1004,Store,051004,OBU,CONCOURSE M262-OBU,10,Other Sales,,8 - Other Sales,,HAMISAH,"LOT F223,FIRST FLOOR,","BANDAR UTAMA SHOPPING CENTRE,",,,SEL,0374967059,,Malaysia,,SELANGOR,Dummy,MALAYSIA,,,,,,2021-01-27 00:00:00,,,,47800,N,N,,N,,N,N,N,2021-01-10 15:25:50,2025-06-03 11:47:28,,Watsons Malaysia > Dummy Region > Dummy Region > Dummy > Dummy,Watsons Malaysia,001,Dummy Region,019,Dummy Region,029,Dummy,0399,Dummy,0499,Dummy Region,Dummy,Concourse,Concourse,2025-10-21 13:28:49,OFFLINE STORE,W,W,,,
1005,WTCMY,1005,Store,051005,KTCC,CONCOURSE M669-KTCC,10,Other Sales,,8 - Other Sales,,SABRUL,"LOT G-57&G-57A,GF,","KTCC MALL,",,,TER,096224928,,Malaysia,,TERENGGANU,Dummy,MALAYSIA,,,,,,2021-01-27 00:00:00,,,,20200,N,N,,N,,N,N,N,2021-01-10 15:25:50,2025-06-03 11:47:28,,Watsons Malaysia > Dummy Region > Dummy Region > Dummy > Dummy,Watsons Malaysia,001,Dummy Region,019,Dummy Region,029,Dummy,0399,Dummy,0499,Dummy Region,Dummy,Concourse,Concourse,2025-10-21 13:28:49,OFFLINE STORE,W,W,,,
1006,WTCMY,1006,Store,051006,ASM,CONCOURSE M261-ASM,10,Other Sales,,8 - Other Sales,,HASHINA,"LOT F29,GF,A/S KAWASAN","PERUSAHAAN TANDOP,",,,KED,047719643,,Malaysia,,KEDAH,Dummy,MALAYSIA,,,,,,2021-01-27 00:00:00,,,,05400,N,N,,N,,N,N,N,2021-01-10 15:25:50,2025-06-03 11:47:28,,Watsons Malaysia > Dummy Region > Dummy Region > Dummy > Dummy,Watsons Malaysia,001,Dummy Region,019,Dummy Region,029,Dummy,0399,Dummy,0499,Dummy Region,Dummy,Concourse,Concourse,2025-10-21 13:28:49,OFFLINE STORE,W,W,,,
