Week,Target
202501,87220848.28
202502,72297559.02
202503,72629039.67
202504,97278079.18
202505,102236397.9
202506,86971823.83
202507,83877506.17
202508,78679886.57
202509,89837494.54
202510,79948658.19
202511,72740986.45
202512,82945470.64
202513,109527122.3
202514,105032011.2
202515,91401534.97
202516,78585872.34
202517,78105741.44
202518,93893872.65
202519,80901197.34
202520,74575813.49
202521,85759211.55
202522,97620157.51
202523,91414288.71
202524,84601640.24
202525,78457070.61
202526,88310211.48
202527,87263850.8
202528,81466456.09
202529,77304966.04
202530,93515545.92
202531,90693998.75
202532,82766413.35
202533,77942436.04
202534,78558260.05
202535,96884801.33
202536,90462997.99
202537,77110339.33
202538,80818477.38
202539,88760049.94
202540,90442808.63
202541,80200675.37
202542,72739511.68
202543,90507347.63
202544,86751460.95
202545,83459320.07
202546,77731646.87
202547,77668994.53
202548,96186246.34
202549,86794330.41
202550,84413865.88
202551,89705171.15
202552,100993252.7
